cluster,label,size,top_keywords,top_titles
37,Cloud computing / Artificial intelligence / edge computing / Edge computing / Federated learning,36066,"Cloud computing, Artificial intelligence, edge computing, Edge computing, Federated learning",Leakage-Resilient Authenticated Key Exchange for Edge Artificial Intelligence || Authenticated Key Agreement Scheme for Fog-Driven IoT Healthcare System. || Privacy-preserving and Verifiable Classifier Training in Edge-Assisted Mobile Communication Systems || IoV-BCFL: an Intrusion Detection Method for IoV Based on Blockchain and Federated Learning || Verifiable Data Streaming with Efficient Update for Intelligent Automation Systems
16,Medical image segmentation / CNN / Convolutional neural network / Vision Transformer / medical image segmentation,26796,"Medical image segmentation, CNN, Convolutional neural network, Vision Transformer, medical image segmentation",CCFNet: Collaborative Cross-Fusion Network for Medical Image Segmentation || SBC-UNet: A Network Based on Improved Hourglass Attention Mechanism and U-Net for Medical Image Segmentation. || NFN＋: A Novel Network Followed Network for Retinal Vessel Segmentation. || Scale-wise Discriminative Region Learning for Medical Image Segmentation || Identity-Mapping ResFormer: A Computer-Aided Diagnosis Model for Pneumonia X-Ray Images
1,Topic Modeling / Language Modeling / Interpretable Models / Machine Translation / Syntax-based Translation Models,11035,"Topic Modeling, Language Modeling, Interpretable Models, Machine Translation, Syntax-based Translation Models",Augmenting Interpretable Models with Large Language Models During Training || Prismer: A Vision-Language Model with an Ensemble of Experts || GLUECons: A Generic Benchmark for Learning under Constraints || Selective Annotation Makes Language Models Better Few-Shot Learners. || LMPriors: Pre-Trained Language Models As Task-Specific Priors
12,Training / Solid modeling / Robustness / machine learning (ML) / Machine learning,3825,"Training, Solid modeling, Robustness, machine learning (ML), Machine learning",ReaLPrune: ReRAM Crossbar-Aware Lottery Ticket Pruning for CNNs || A Machine-Learning Classifier Implemented in a Standard 6T SRAM Array || ScaleDeep: A Scalable Compute Architecture for Learning and Evaluating Deep Networks. || Robust Deep Learning for IC Test Problems || An In-memory-Computing DNN Achieving 700 TOPS/W and 6 TOPS/mm2 in 130-Nm CMOS
56,Representation Learning / Recommender Systems / Graph Convolutional Networks / Heterogeneous Information Network / Graph transformer,8979,"Representation Learning, Recommender Systems, Graph Convolutional Networks, Heterogeneous Information Network, Graph transformer",Joint Representation Learning for Top-N Recommendation with Heterogeneous Information Sources || Unleashing the Power of Knowledge Graph for Recommendation Via Invariant Learning || Collaborative Tag-Aware Graph Neural Network for Long-Tail Service Recommendation || Mixture of Graph Enhanced Expert Networks for Multi-task Recommendation || IntentGC: a Scalable Graph Convolution Framework Fusing Heterogeneous Information for Recommendation.
9,ImageNet / Deep learning / visual common sense learning / video prediction tasks / crowdsourcing,4115,"ImageNet, Deep learning, visual common sense learning, video prediction tasks, crowdsourcing","The ""something Something"" Video Database for Learning and Evaluating Visual Common Sense. || Towards Long-Form Video Understanding || Contrastive Pre-Training with Multi-View Fusion for No-Reference Point Cloud Quality Assessment || CIR-DFENet: Incorporating Cross-Modal Image Representation and Dual-Stream Feature Enhanced Network for Activity Recognition || Anti-Confusing: Region-Aware Network for Human Pose Estimation."
29,Signal processing algorithms / synthetic aperture radar (SAR) / Radar detection / Object detection / Detectors,6938,"Signal processing algorithms, synthetic aperture radar (SAR), Radar detection, Object detection, Detectors",Radar Target Detection Via GAMP: A Sparse Recovery Strategy off the Grid. || Automatic Target Recognition with Joint Sparse Representation of Heterogeneous Multi-View SAR Images over a Locally Adaptive Dictionary || Subdictionary-Based Joint Sparse Representation for SAR Target Recognition Using Multilevel Reconstruction || SAR Automatic Target Recognition Using Joint Low-Rank and Sparse Multiview Denoising. || Target Recognition Via Discriminant Information and Geometrical Structure Co-Learning Using Radar Sensor Network
52,Training / Computational modeling / Computer architecture / Transformers / image classification,7829,"Training, Computational modeling, Computer architecture, Transformers, image classification",X-Learner: Learning Cross Sources and Tasks for Universal Visual Representation. || Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet || VOLO: Vision Outlooker for Visual Recognition || Learning to Recognize Objects by Retaining Other Factors of Variation. || TVTSv2: Learning Out-of-the-box Spatiotemporal Visual Representations at Scale
64,Maintenance decision-making / Markovian arrivals process / Reliability / Redundant systems / Phase-type distributions,3104,"Maintenance decision-making, Markovian arrivals process, Reliability, Redundant systems, Phase-type distributions","Algorithmic Modelling of a Complex Redundant Multi-State System Subject to Multiple Events, Preventive Maintenance, Loss of Units and a Multiple Vacation Policy Through a MMAP || Supporting Group Maintenance Through Prognostics-Enhanced Dynamic Dependability Prediction. || A Sensor-Driven Operations and Maintenance Planning Approach for Large-Scale Leased Manufacturing Systems || Integrated Predictive Maintenance Strategy for Manufacturing Systems by Combining Quality Control and Mission Reliability Analysis || A Prognosis-Centered Intelligent Maintenance Optimization Framework under Uncertain Failure Threshold"
33,Partial differential equations / Deep Learning / Nonlinear Systems / Model Reduction / Operator learning,2960,"Partial differential equations, Deep Learning, Nonlinear Systems, Model Reduction, Operator learning",LordNet: an Efficient Neural Network for Learning to Solve Parametric Partial Differential Equations Without Simulated Data || Tackling the Curse of Dimensionality with Physics-Informed Neural Networks || Greedy Training Algorithms for Neural Networks and Applications to PDEs || Deep Learning-based Surrogate Models for Parametrized PDEs: Handling Geometric Variability Through Graph Neural Networks || Overcoming the curse of dimensionality: Solving high-dimensional partial differential equations using deep learning.
31,Deepfake detection / Deepfakes / Forgery / Feature extraction / Faces,6901,"Deepfake detection, Deepfakes, Forgery, Feature extraction, Faces",Learning Features of Intra-Consistency and Inter-Diversity: Keys Toward Generalizable Deepfake Detection || Protecting Celebrities from DeepFake with Identity Consistency Transformer || FFDL: Feature Fusion-Based Deep Learning Method Utilizing Federated Learning for Forged Face Detection || Deep Face Recognition: A Survey || Deepfake Detection and Localisation Based on Illumination Inconsistency
40,Case Study / Digital Multi-sided Platform / E-commerce / China / IT identity,7334,"Case Study, Digital Multi-sided Platform, E-commerce, China, IT identity",Special Issue: Dark Sides of Digitalization. || Developing a Leading Digital Multi-sided Platform: Examining IT Affordances and Competitive Actions in Alibaba.com. || Information Technology Identity: A Key Determinant of IT Feature and Exploratory Usage. || Disrupting the Disruptor: the Role of Information Systems in Facilitating Second-Mover Advantage || IT Affordances in Online Social Commerce: Conceptualization Validation and Scale Development.
19,medical imaging / Visual Question Answering / foundation model / large language model / large vision model,2386,"medical imaging, Visual Question Answering, foundation model, large language model, large vision model",On the Opportunities and Challenges of Foundation Models for GeoAI (vision Paper) || ViLMedic: a Framework for Research at the Intersection of Vision and Language in Medical AI || Deep Collaborative Learning for Visual Recognition. || Pythia V0.1: the Winning Entry to the VQA Challenge 2018 || COMPASS: Contrastive Multimodal Pretraining for Autonomous Systems
34,65K10 / Convex Optimization / Orthogonal Matching Pursuit / Sparse Approximation / Restricted isometry property,3900,"65K10, Convex Optimization, Orthogonal Matching Pursuit, Sparse Approximation, Restricted isometry property",Low-rank Matrix Recovery with Composite Optimization: Good Conditioning and Rapid Convergence || Gauss-Southwell Type Descent Methods for Low-Rank Matrix Optimization || Faster Projection-free Convex Optimization over the Spectrahedron || Low-Rank Extragradient Method for Nonsmooth and Low-Rank Matrix Optimization Problems || Efficient Alternating Minimization with Applications to Weighted Low Rank Approximation
62,Deep learning / Feature extraction / fault diagnosis / soft sensor / Prognostics and health management,2060,"Deep learning, Feature extraction, fault diagnosis, soft sensor, Prognostics and health management",Intelligent Fault Diagnosis by Fusing Domain Adversarial Training and Maximum Mean Discrepancy Via Ensemble Learning. || Deep Learning of Semisupervised Process Data with Hierarchical Extreme Learning Machine and Soft Sensor Application || A Systematic Literature Review on Transfer Learning for Predictive Maintenance in Industry 4.0 || Intelligent Fault Diagnosis of Machinery Using Digital Twin-Assisted Deep Transfer Learning || Deep Diagnostics and Prognostics: an Integrated Hierarchical Learning Framework in PHM Applications.
65,Energy consumption / Q-learning / Heuristics / Many-objective evolutionary algorithm / Flexible job-shop scheduling problem,7952,"Energy consumption, Q-learning, Heuristics, Many-objective evolutionary algorithm, Flexible job-shop scheduling problem",A Hybrid Many-Objective Evolutionary Algorithm for Flexible Job-Shop Scheduling Problem with Transportation and Setup Times || A Bi-Learning Evolutionary Algorithm for Transportation-Constrained and Distributed Energy-Efficient Flexible Scheduling || An Enhanced Decomposition-Based Multi-Objective Evolutionary Algorithm with Neighborhood Search for Multi-Resource Constrained Job Shop Scheduling Problem || Integrated Scheduling of Multi-Constraint Open Shop and Vehicle Routing: Mathematical Model and Learning-Driven Brain Storm Optimization Algorithm || A Q-learning-based Multi-Population Algorithm for Multi-Objective Distributed Heterogeneous Assembly No-Idle Flowshop Scheduling with Batch Delivery
7,Deep Learning / Performance Optimization / GPU Computing / High-Performance Computing / Multicore Architectures,2356,"Deep Learning, Performance Optimization, GPU Computing, High-Performance Computing, Multicore Architectures",TVM: End-to-End Optimization Stack for Deep Learning. || EFLOPS: Algorithm and System Co-Design for a High Performance Distributed Training Platform || From Shared Subspaces to Shared Landmarks: A Robust Multi-Source Classification Approach. || Federated Multitask Learning for HyperFace || AMPNet: Asynchronous Model-Parallel Training for Dynamic Neural Networks
46,Traffic flow prediction / Traffic prediction / Data models / Correlation / Predictive models,3388,"Traffic flow prediction, Traffic prediction, Data models, Correlation, Predictive models",Spatio-temporal Attention Based Collaborative Local-Global Learning for Traffic Flow Prediction || Spatial-temporal Synchronous Graphsage for Traffic Prediction || AST-GIN: Attribute-Augmented Spatiotemporal Graph Informer Network for Electric Vehicle Charging Station Availability Forecasting || Spatio-Temporal Contrastive Learning-Based Adaptive Graph Augmentation for Traffic Flow Prediction || Robust Road Network Representation Learning: when Traffic Patterns Meet Traveling Semantics
49,TOPSIS / Pythagorean fuzzy sets (PFSs) / Group decision making / Last aggregation approach / Decision makers' weights,7412,"TOPSIS, Pythagorean fuzzy sets (PFSs), Group decision making, Last aggregation approach, Decision makers' weights","Enhancing Decision-Making Flexibility by Introducing a New Last Aggregation Evaluating Approach Based on Multi-Criteria Group Decision Making and Pythagorean Fuzzy Sets || A New Last Aggregation Method of Multi-Attributes Group Decision Making Based on Concepts of TODIM, WASPAS and TOPSIS under Interval-Valued Intuitionistic Fuzzy Uncertainty || Multi-criteria Decision-Making Methods Based on Q-Rung Picture Fuzzy Information || Multi-attribute Group Decision-Making Method Using Single-Valued Neutrosophic Credibility Numbers with Fairly Variable Extended Power Average Operators and GRA-MARCOS || Multi-Attribute Decision-Making Based on Prioritized Aggregation Operator under Hesitant Intuitionistic Fuzzy Linguistic Environment"
54,multi-model / federated learning / AQI prediction / big data / IoT,3589,"multi-model, federated learning, AQI prediction, big data, IoT",Insights into Multi-Model Federated Learning: an Advanced Approach for Air Quality Index Forecasting || Large-scale Data Classification Based on the Integrated Fusion of Fuzzy Learning and Graph Neural Network || Addressing Data Dependency in Neural Networks: Introducing the Knowledge Enhanced Neural Network (KENN) for Time Series Forecasting + || Learning Understandable Neural Networks with Nonnegative Weight Constraints || An Extensive Evaluation of Seven Machine Learning Methods for Rainfall Prediction in Weather Derivatives
4,Gait Recognition / Gait recognition / deep learning / segmentation / Medical,1803,"Gait Recognition, Gait recognition, deep learning, segmentation, Medical",Self-Supervised Pre-Training of Swin Transformers for 3D Medical Image Analysis || BigGait: Learning Gait Representation You Want by Large Vision Models || Gait Pyramid Attention Network: Toward Silhouette Semantic Relation Learning for Gait Recognition || GaitNet: An end-to-end network for gait based human identification. || Learning Visual Prompt for Gait Recognition
3,Artificial Intelligence / Grid Computing / Deep Learning Applications / Systems Design / Survey,2667,"Artificial Intelligence, Grid Computing, Deep Learning Applications, Systems Design, Survey","Trillion Parameter AI Serving Infrastructure for Scientific Discovery: A Survey and Vision || UnIVAL: Unified Model for Image, Video, Audio and Language Tasks || NNsight and NDIF: Democratizing Access to Open-Weight Foundation Model Internals || Deep Learning in Healthcare: an In-Depth Analysis || Model Ratatouille: Recycling Diverse Models for Out-of-Distribution Generalization"
55,Random walk / Link prediction / Network coarsening / Information diffusion / Graph data mining,5281,"Random walk, Link prediction, Network coarsening, Information diffusion, Graph data mining",Towards Embedding Information Diffusion Data for Understanding Big Dynamic Networks. || PartNRL: Partial Nodes Representation Learning in Large-Scale Network. || Predicting Neighbor Label Distributions in Dynamic Heterogeneous Information Networks. || DISK: A Distributed Framework for Single-Source SimRank with Accuracy Guarantee || Cross-domain Network Representations.
