cluster,label,size,top_keywords,top_titles
18,deep learning / data mining / data privacy / AI for mathematics (AI4Math) / learning to optimize,528825,"deep learning, data mining, data privacy, AI for mathematics (AI4Math), learning to optimize","Deep Learning: Applications, Architectures, Models, Tools, and Frameworks: A Comprehensive Survey || Learning New Tricks from Old Dogs: Multi-Source Transfer Learning from Pre-Trained Networks. || Learning to Optimize: A Tutorial for Continuous and Mixed-Integer Optimization || PyTorch Metric Learning. || UFO: Unified Feature Optimization"
6,Medical imaging / Deep learning / Machine learning / Computational modeling / Special issues and sections,2698,"Medical imaging, Deep learning, Machine learning, Computational modeling, Special issues and sections",Guest Editorial Deep Learning in Medical Imaging: Overview and Future Promise of an Exciting New Technique || DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images. || LitefusionNet: Boosting the Performance for Medical Image Classification with an Intelligent and Lightweight Feature Fusion Network || Medical Image Data and Datasets in the Era of Machine Learning - Whitepaper from the 2016 C-MIMI Meeting Dataset Session. || Optimized Deep Learning Model for Comprehensive Medical Image Analysis Across Multiple Modalities
2,transfer learning / chest X-rays / Machine learning / Brain tumor / ViT,2364,"transfer learning, chest X-rays, Machine learning, Brain tumor, ViT",ViT-CB: Integrating Hybrid Vision Transformer and CatBoost to Enhanced Brain Tumor Detection with SHAP || Review of Deep Learning-Based Pathological Image Classification: from Task-Specific Models to Foundation Models || Automated Breast Ultrasound Lesions Detection Using Convolutional Neural Networks || A Hybrid Feature Fusion Deep Learning Framework for Multi-Source Medical Image Analysis || Advancing Brain Tumor Segmentation and Grading Through Integration of FusionNet and IBCO-based ALCResNet
10,Multimodal fusion / Deep Learning / Multimodal learning / Patient representation learning / Patient outcome prediction,1992,"Multimodal fusion, Deep Learning, Multimodal learning, Patient representation learning, Patient outcome prediction","Multimodal Fusion Network for ICU Patient Outcome Prediction || Deep Learning-a First Meta-Survey of Selected Reviews Across Scientific Disciplines, Their Commonalities, Challenges and Research Impact || Exploring the State of Machine Learning and Deep Learning in Medicine: A Survey of the Italian Research Community || Federated Learning Enables Big Data for Rare Cancer Boundary Detection || Domain Generalization for Medical Image Analysis: A Review"
12,Deep learning / Breast cancer / Medical image / Deep Learning / Supervised learning,1950,"Deep learning, Breast cancer, Medical image, Deep Learning, Supervised learning","Medical Image Analysis Through Deep Learning Techniques: A Comprehensive Survey || Hybrid-Patch-Alex: A New Patch Division and Deep Feature Extraction-Based Image Classification Model to Detect COVID-19, Heart Failure, and Other Lung Conditions Using Medical Images || Advancing Breast Cancer Diagnosis: Token Vision Transformers for Faster and Accurate Classification of Histopathology Images || LMCNet: a Lightweight and Efficient Model for Multi-Classification of Breast Cancer Images || CVD-HNet: Classifying Pneumonia and COVID-19 in Chest X-ray Images Using Deep Network"
14,Deep learning / Federated Learning / Laparoscopic cholecystectomy / Classification / X -Ray,1867,"Deep learning, Federated Learning, Laparoscopic cholecystectomy, Classification, X -Ray",A Federated Learning Approach for Classifying Chest Diseases from Chest X-ray Images || Federated Learning Enables Big Data for Rare Cancer Boundary Detection || Deep Learning in Diverse Intelligent Sensor Based Systems. || Semi-Supervised Learning With Deep Embedded Clustering for Image Classification and Segmentation. || Federated Learning for Computer Vision
9,Deep learning / deep learning / Breast cancer / Diabetic foot ulcer / Wound,1839,"Deep learning, deep learning, Breast cancer, Diabetic foot ulcer, Wound",Robust Application of New Deep Learning Tools: an Experimental Study in Medical Imaging || A Prior Guide Feature Enhancement Network for Classifying Ischaemic Stroke Onset Time Based on DWI and FLAIR Imaging || Optimized Deep Learning Model for Comprehensive Medical Image Analysis Across Multiple Modalities || Explainable Detection of Myocardial Infarction Using Deep Learning Models with Grad-CAM Technique on ECG Signals || BARF: A New Direct and Cross-Based Binary Residual Feature Fusion with Uncertainty-Aware Module for Medical Image Classification.
17,Neural Network Architectures / Image Segmentation / MRI Segmentation / Medical Imaging / Medical Image Analysis,1788,"Neural Network Architectures, Image Segmentation, MRI Segmentation, Medical Imaging, Medical Image Analysis",Nnu-Net: Self-adapting Framework for U-Net-Based Medical Image Segmentation. || A Recent Survey of Vision Transformers for Medical Image Segmentation || RIL-Contour: a Medical Imaging Dataset Annotation Tool for and with Deep Learning || HiFormer: Hierarchical Multi-scale Representations Using Transformers for Medical Image Segmentation. || Adaptive Feature Aggregation Based Multi-Task Learning for Uncertainty-Guided Semi-Supervised Medical Image Segmentation.
15,Machine learning / Deep learning / Satellite ioT / Satellite networks / Artificial intelligence,1475,"Machine learning, Deep learning, Satellite ioT, Satellite networks, Artificial intelligence","On the Role of Machine Learning in Satellite Internet of Things: A Survey of Techniques, Challenges, and Future Directions || Explainable Artificial Intelligence (XAI) for Methods Working on Point Cloud Data: A Survey || Learning of Physically Significant Features from Earth Observation Data: an Illustration for Crop Classification and Irrigation Scheme Detection || ECA-MobileNetV3(Large)+SegNet Model for Binary Sugarcane Classification of Remotely Sensed Images || TS2HGRNet: A Paradigm of Two Stream Best Deep Learning Feature Fusion Assisted Framework for Human Gait Analysis Using Controlled Environment in Smart Cities."
13,Deep Learning / Medical Image Analysis / Medical image segmentation / Truncation / Compression,1299,"Deep Learning, Medical Image Analysis, Medical image segmentation, Truncation, Compression",Optimized Deep Learning Model for Comprehensive Medical Image Analysis Across Multiple Modalities || Improving Pneumonia Diagnosis with High-Accuracy Cnn-Based Chest X-Ray Image Classification and Integrated Gradient || FSNet: Dual Interpretable Graph Convolutional Network for Alzheimer’s Disease Analysis || LMCNet: a Lightweight and Efficient Model for Multi-Classification of Breast Cancer Images || Transforming Lung Disease Diagnosis with Transfer Learning Using Chest X-Ray Images on Cloud Computing
5,Machine learning / Medical imaging / Convolutional neural networks / Transfer Learning / Deep Learning,1093,"Machine learning, Medical imaging, Convolutional neural networks, Transfer Learning, Deep Learning","DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images. || Not-so-supervised: a Survey of Semi-Supervised, Multi-Instance, and Transfer Learning in Medical Image Analysis || GaNDLF: A Generally Nuanced Deep Learning Framework for Scalable End-to-End Clinical Workflows in Medical Imaging || Learning Clinically Useful Information from Images: Past, Present and Future. || Semi-supervised Learning for Network-Based Cardiac MR Image Segmentation"
