cluster,label,size,top_keywords,top_titles
59,Deep learning / Computer vision / Developments / Applications / Trends,158759,"Deep learning, Computer vision, Developments, Applications, Trends",Deep Learning for Visual Understanding: A Review. || Watching the World Go By: Representation Learning from Unlabeled Videos || Adult Image and Video Recognition by a Deep Multicontext Network and Fine-to-Coarse Strategy || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Master's Thesis : Deep Learning for Visual Recognition
53,classification / Augmentation / custom deep model / features fusion / land cover,17841,"classification, Augmentation, custom deep model, features fusion, land cover",RSMamba: Remote Sensing Image Classification with State Space Model || A Unified Super-Resolution Framework of Remote Sensing Satellite Images Classification Based on Information Fusion of Novel Deep Convolutional Neural Network Architectures || Remote Sensing Scene Image Classification Based on Dense Fusion of Multi-level Features || On the Selective and Invariant Representation of DCNN for High-Resolution Remote Sensing Image Recognition. || WH-MAVS: A Novel Dataset and Deep Learning Benchmark for Multiple Land Use and Land Cover Applications
103,Deep Learning / deep learning / Robust Learning / Meta-Learning / Hyperparameter Optimization,17646,"Deep Learning, deep learning, Robust Learning, Meta-Learning, Hyperparameter Optimization","Learning Gradient Descent: Better Generalization and Longer Horizons || High Dimensional, Tabular Deep Learning with an Auxiliary Knowledge Graph. || OoD-Bench: Quantifying and Understanding Two Dimensions of Out-of-Distribution Generalization || Grain: Improving Data Efficiency of Graph Neural Networks Via Diversified Influence Maximization || Stochastic Shared Embeddings: Data-driven Regularization of Embedding Layers."
72,Random access memory / Optimization / Processing in memory / Deep neural networks / Energy efficient,15910,"Random access memory, Optimization, Processing in memory, Deep neural networks, Energy efficient",Processing-in-Memory for Energy-Efficient Neural Network Training: A Heterogeneous Approach || SHADE: Enable Fundamental Cacheability for Distributed Deep Learning Training. || Hvac: Removing I/O Bottleneck for Large-Scale Deep Learning Applications || CASH: Compiler Assisted Hardware Design for Improving DRAM Energy Efficiency in CNN Inference. || Compute-in-Memory Technologies and Architectures for Deep Learning Workloads
76,resources constrained / deep reinforcement learning / distributed execution / homomorphic inference / Multi-access edge computing,15782,"resources constrained, deep reinforcement learning, distributed execution, homomorphic inference, Multi-access edge computing",Scalable Compute Continuum || Towards Homomorphic Inference Beyond the Edge || Computation Offloading in Resource-Constrained Multi-Access Edge Computing || Benchmarking a New Paradigm: an Experimental Analysis of a Real Processing-in-Memory Architecture || Federated Learning Via Over-the-Air Computation
95,Computational modeling / Data models / Deep learning / remote sensing / Feature extraction,15018,"Computational modeling, Data models, Deep learning, remote sensing, Feature extraction","Self-supervised Remote Sensing Feature Learning: Learning Paradigms, Challenges, and Future Works || Object Detection and Classification: a Joint Selection and Fusion Strategy of Deep Convolutional Neural Network and SIFT Point Features || Mbda-net: a Building Damage Assessment Model Based on a Multi-Scale Fusion Network || A Novel Network Level Fusion Architecture of Proposed Self-Attention and Vision Transformer Models for Land Use and Land Cover Classification from Remote Sensing Images || FE-YOLOv5: Improved YOLOv5 Network for Multi-scale Drone-Captured Scene Detection"
120,Fuzzy systems / Informatics / Artificial intelligence / deep learning / fusion,14985,"Fuzzy systems, Informatics, Artificial intelligence, deep learning, fusion",The Fusion of Deep Learning and Fuzzy Systems: A State-of-the-Art Survey || Reimagining Multi-Criterion Decision Making by Data-Driven Methods Based on Machine Learning: A Literature Review. || A New Methodology for Identifying Unreliable Sensors in Data Fusion. || TSK Fuzzy System Towards Few Labeled Incomplete Multi-View Data Classification || Supervised Learning Method of Parallel Classified Hesitant Information and Its Application in the Smart Home System Selection
77,Federated Learning / Stochastic Gradient Descent / Differential Privacy / federated learning / compression,14899,"Federated Learning, Stochastic Gradient Descent, Differential Privacy, federated learning, compression",Flag Aggregator: Scalable Distributed Training under Failures and Augmented Losses Using Convex Optimization || Personalized Federated Learning with Communication Compression. || Comfetch: Federated Learning of Large Networks on Constrained Clients Via Sketching || Efficient Asynchronous Federated Learning with Sparsification and Quantization || Sparse Random Networks for Communication-Efficient Federated Learning
96,Meta-Learning / Image Captioning / Transfer Learning / Visual Question Answering / Semi-Supervised Learning,13701,"Meta-Learning, Image Captioning, Transfer Learning, Visual Question Answering, Semi-Supervised Learning",Q: How to Specialize Large Vision-Language Models to Data-Scarce VQA Tasks? A: Self-Train on Unlabeled Images! || OpenFlamingo: an Open-Source Framework for Training Large Autoregressive Vision-Language Models || GrowCLIP: Data-aware Automatic Model Growing for Large-scale Contrastive Language-Image Pre-training. || Flamingo: a Visual Language Model for Few-Shot Learning || Sequential Modeling Enables Scalable Learning for Large Vision Models
85,Cloud computing / Authentication / Servers / Security / Computational modeling,13666,"Cloud computing, Authentication, Servers, Security, Computational modeling",HSADR: A New Highly Secure Aggregation and Dropout-Resilient Federated Learning Scheme for Radio Access Networks with Edge Computing Systems || A Novel Authentication Scheme for Edge Computing-Enabled Internet of Vehicles Providing Anonymity and Identity Tracing with Drone-Assistance || Authenticated Key Agreement Scheme for Fog-Driven IoT Healthcare System. || TACAS-IoT: Trust Aggregation Certificate-Based Authentication Scheme for Edge-Enabled IoT Systems || Lightweight Privacy-Preserving Authenticated Key Agreements Using Physically Unclonable Functions for Internet of Drones
75,Secure Multi-party Computation / Privacy-Preserving Computation / Secure Computation / many secrets / robustly,13018,"Secure Multi-party Computation, Privacy-Preserving Computation, Secure Computation, many secrets, robustly","hbACSS: How to Robustly Share Many Secrets. || Concretely Efficient Large-Scale MPC with Active Security (or, TinyKeys for TinyOT) || Towards Attack-Resistant Aggregate Computing Using Trust Mechanisms || Efficient Secure Multiparty Computation with Identifiable Abort || Optimizing Semi-Honest Secure Multiparty Computation for the Internet."
119,Deep learning / Remote sensing / Mamba / Remote sensing images / hyperspectral image classification,13015,"Deep learning, Remote sensing, Mamba, Remote sensing images, hyperspectral image classification",A Unified Deep Learning Network for Remote Sensing Image Registration and Change Detection || RSMamba: Remote Sensing Image Classification with State Space Model || Efficient Knowledge Distillation for Remote Sensing Image Classification: a CNN-based Approach || Subpixel Multilevel Scale Feature Learning and Adaptive Attention Constraint Fusion for Hyperspectral Image Classification || Multi-Level Feature Extraction Networks for Hyperspectral Image Classification
17,Topic Modeling / Language Modeling / Syntax-based Translation Models / Neural Machine Translation / Machine Translation,12171,"Topic Modeling, Language Modeling, Syntax-based Translation Models, Neural Machine Translation, Machine Translation","Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || LaMDA: Language Models for Dialog Applications || Baichuan 2: Open Large-scale Language Models || Text Modular Networks: Learning to Decompose Tasks in the Language of Existing Models || PromDA: Prompt-based Data Augmentation for Low-Resource NLU Tasks"
63,Language Modeling / Model-driven Performance Prediction / library learning / e-graphs / anti-unification,11425,"Language Modeling, Model-driven Performance Prediction, library learning, e-graphs, anti-unification",KB-Plugin: A Plug-and-play Framework for Large Language Models to Induce Programs over Low-resourced Knowledge Bases || Babble: Learning Better Abstractions with E-Graphs and Anti-Unification. || Scaling Up Test-Time Compute with Latent Reasoning: A Recurrent Depth Approach || ENIGMA-NG: Efficient Neural and Gradient-Boosted Inference Guidance for E || Multi-modal Program Inference: a Marriage of Pre-Trained Language Models and Component-Based Synthesis.
36,3D from multi-view and sensors / Visual Servoing / Image Synthesis / 3D Human Pose / Unsupervised Learning,11423,"3D from multi-view and sensors, Visual Servoing, Image Synthesis, 3D Human Pose, Unsupervised Learning",Ivs-Net: Learning Human View Synthesis from Internet Videos || MVImgNet: A Large-scale Dataset of Multi-view Images. || Geometry Understanding from Autonomous Driving Scenarios Based on Feature Refinement || AutoRF: Learning 3D Object Radiance Fields from Single View Observations || Towards Robust Image Matching in Low-Luminance Environments: Self-supervised Keypoint Detection and Descriptor-Free Cross-Fusion Matching
52,Attention mechanism / data mining / data privacy / deep learning / High quality content recognition,11125,"Attention mechanism, data mining, data privacy, deep learning, High quality content recognition","Deep Learning: Applications, Architectures, Models, Tools, and Frameworks: A Comprehensive Survey || Multimodal Graph Convolutional Networks for High Quality Content Recognition || Enhancing Binary Classification by Modeling Uncertain Boundary in Three-Way Decisions (extended Abstract) || Domain Knowledge-Powered Attention for Air Traffic Management Hazardous Events Classification || An Introduction to Deep Learning in Natural Language Processing: Models, Techniques, and Tools."
35,Visualization / Training / Transformers / Computational modeling / Top-Down Attention,10984,"Visualization, Training, Transformers, Computational modeling, Top-Down Attention",FeatEnHancer: Enhancing Hierarchical Features for Object Detection and Beyond under Low-Light Vision. || MVImgNet: A Large-scale Dataset of Multi-view Images. || Your Image is My Video: Reshaping the Receptive Field Via Image-To-Video Differentiable AutoAugmentation and Fusion || Effective End-to-End Vision Language Pretraining with Semantic Visual Loss || LF-Net: Learning Local Features from Images.
21,Transformer / remote sensing images / spatial information integration module / gather-and-distribute mechanism / multi-channel decoupled head,10900,"Transformer, remote sensing images, spatial information integration module, gather-and-distribute mechanism, multi-channel decoupled head",Information Balance Network for Multiscale Object Detection in Remote Sensing Imagery || Object Detection in Autonomous Vehicles under Adverse Weather: A Review of Traditional and Deep Learning Approaches || A Context Feature Enhancement and Adaptive Weighted Fusion Network for River Floating Debris Detection || CFNet: A Cross Fusion Network for Joint Land Cover Classification Using Optical and SAR Images. || So2Sat LCZ42: A Benchmark Data Set for the Classification of Global Local Climate Zones [software and Data Sets]
82,Computational modeling / Wireless communication / resource allocation / Servers / Computation offloading,10557,"Computational modeling, Wireless communication, resource allocation, Servers, Computation offloading",DRL-based Structured Task Offloading Decision in Intelligent Transportation Scenarios || Importance-Aware Data Selection and Resource Allocation in Federated Edge Learning System || AoI-Aware Joint Spectrum and Power Allocation for Internet of Vehicles: A Trust Region Policy Optimization-Based Approach. || Learning-Based URLLC-Aware Task Offloading for Internet of Health Things || A Probabilistic Approach for Cooperative Computation Offloading in MEC-Assisted Vehicular Networks
132,Optimization / Decision making / Evolutionary algorithm / Data-driven optimisation method / Multi-objective evolutionary algorithm,10328,"Optimization, Decision making, Evolutionary algorithm, Data-driven optimisation method, Multi-objective evolutionary algorithm",Evolutionary Algorithms And Neural Networks: Theory And Applications || A Data-Driven Optimisation Method for a Class of Problems with Redundant Variables and Indefinite Objective Functions || Neural Network-Based Information Transfer for Dynamic Optimization || Preference Representation Using Gaussian Functions on a Hyperplane in Evolutionary Multi-Objective Optimization || Decision Space Information Driven Algorithm for Dynamic Multiobjective Optimization with a Changing Number of Objectives
134,Deep learning / perceptual learning / Object detection / deep learning / Algorithms,10325,"Deep learning, perceptual learning, Object detection, deep learning, Algorithms",Improving Deep Convolutional Neural Networks with Unsupervised Feature Learning || Guided Attentive Feature Fusion for Multispectral Pedestrian Detection || DPSNet: A Detail Perception Synergistic Network for Camouflaged Object Detection || Object Re-Identification from Point Clouds || Multifeature Fusion-Based Object Detection for Intelligent Transportation Systems
125,Multi-Agent Systems / Event-Triggered Control / Adaptive Control / Multi-agent systems / Observers,9533,"Multi-Agent Systems, Event-Triggered Control, Adaptive Control, Multi-agent systems, Observers",Coordinated Tracking Control of Multi Agent Systems with Full-State Constraints. || Deterministic Learning-Based Neural Identification and Knowledge Fusion || Distributed Fault-Tolerant Control of Multiagent Systems: an Adaptive Learning Approach || Distributed Fixed-Time Event-Triggered Consensus Control for Uncertain Nonlinear Multiagent Systems with Actuator Failures. || Robust Near-Optimal Coordination in Uncertain Multiagent Networks with Motion Constraints
101,Robust Learning / Hyperparameter Optimization / Training / Convergence / variance reduction,9154,"Robust Learning, Hyperparameter Optimization, Training, Convergence, variance reduction",Optimization Methods for Supervised Machine Learning: from Linear Models to Deep Learning. || Predict+Optimise with Ranking Objectives: Exhaustively Learning Linear Functions. || Learning Hard Optimization Problems: A Data Generation Perspective || Federated Adam-Type Algorithm for Distributed Optimization with Lazy Strategy. || Distributed Online Constrained Nonconvex Optimization in Dynamic Environments over Directed Graphs
78,Federated learning / Mobile Edge Computing / Edge Computing / mobile edge computing / Training,8995,"Federated learning, Mobile Edge Computing, Edge Computing, mobile edge computing, Training",Computation Offloading Toward Edge Computing || Multicore Federated Learning for Mobile-Edge Computing Platforms || Security and Cost-Aware Computation Offloading Via Deep Reinforcement Learning in Mobile Edge Computing || Federated Deep Reinforcement Learning-Based Task Offloading and Resource Allocation for Smart Cities in a Mobile Edge Network || EdgeMove: Pipelining Device-Edge Model Training for Mobile Intelligence
127,multiagent systems (MASs) / Adaptive control / Vehicle dynamics / Multi-agent systems / Adaptive fuzzy control,8690,"multiagent systems (MASs), Adaptive control, Vehicle dynamics, Multi-agent systems, Adaptive fuzzy control",Cyclic-Small-Gain Approach to Adaptive Control for Multiagent Systems with Unknown Interconnected Dynamics || Adaptive Event-Triggered Bipartite Formation for Multiagent Systems Via Reinforcement Learning || Adaptive Event-Triggered Saturation-Tolerant Control for Multi-Agent Systems Based on Finite-Time Fuzzy Learning || Computational Neural Dynamics Model for Time-Variant Constrained Nonlinear Optimization Applied to Winner-Take-All Operation || Distributed Fuzzy Inverse Optimal Fixed-Time Control for Uncertain Multi-Agent Systems
60,transfer learning / deep learning / Semantic relatedness / Attention mechanism / Spiking neural P system,8488,"transfer learning, deep learning, Semantic relatedness, Attention mechanism, Spiking neural P system",SiMaLSTM-SNP: Novel Semantic Relatedness Learning Model Preserving Both Siamese Networks and Membrane Computing || Contextual-Semantic-Aware Linkable Knowledge Prediction in Stack Overflow Via Self-Attention || A Survey of Data Augmentation Approaches for NLP. || Patton: Language Model Pretraining on Text-Rich Networks. || Sentiment and Context-Aware Hybrid DNN with Attention for Text Sentiment Classification
47,Embodied AI / Robotics / Datasets and evaluation / Behavior analysis / Robot vision,8446,"Embodied AI, Robotics, Datasets and evaluation, Behavior analysis, Robot vision",Egocentric Prediction of Action Target in 3D || RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control || OccWorld: Learning a 3D Occupancy World Model for Autonomous Driving || AutoNeRF: Training Implicit Scene Representations with Autonomous Agents. || EmbodiedScan: A Holistic Multi-Modal 3D Perception Suite Towards Embodied AI
113,Alternating direction method of multipliers / Deterministic learning / Adaptive learning / Persistently exciting / Sampled-data system,8267,"Alternating direction method of multipliers, Deterministic learning, Adaptive learning, Persistently exciting, Sampled-data system",Deterministic Learning-Based Neural Identification and Knowledge Fusion || Huber Loss Based Distributed Robust Learning Algorithm for Random Vector Functional-Link Network || Probabilistic Partition of Unity Networks for High-Dimensional Regression Problems || Net Learning || Toward Quality of Information Aware Distributed Machine Learning
123,Task analysis / Uncertainty / Topology / Kinetic theory / Kinematics,7900,"Task analysis, Uncertainty, Topology, Kinetic theory, Kinematics",Distributed Path Following of Multiple Under-Actuated Autonomous Surface Vehicles Based on Data-Driven Neural Predictors Via Integral Concurrent Learning. || Fully Distributed Target Encircling Control of Autonomous Surface Vehicles Based on Noncooperative Games || The Intelligent Critic Framework for Advanced Optimal Control || Cooperative Learning for Switching Networks with Nonidentical Nonlinear Agents || Control of Uncertain Multiagent Systems with Spatiotemporal Constraints
31,Language Modeling / Topic Modeling / Syntax-based Translation Models / Part-of-Speech Tagging / Spoken Dialogue Systems,7649,"Language Modeling, Topic Modeling, Syntax-based Translation Models, Part-of-Speech Tagging, Spoken Dialogue Systems",Training Language Models to Follow Instructions with Human Feedback || Discovering Language Model Behaviors with Model-Written Evaluations. || LaMDA: Language Models for Dialog Applications || MovieChats: Chat Like Humans in a Closed Domain. || Representation Learning for Stack Overflow Posts: How Far Are We?
133,Mutual information / Vectors / Aggregates / Correlation / Transportation,7440,"Mutual information, Vectors, Aggregates, Correlation, Transportation",Heterogeneous Node Feature Learning Method Based on Low-Order and High-Order Joint Learning || Online Learning to Accelerate Neural Network Inference with Traveling Classifiers || Learning the Feature Distribution Similarities for Online Time Series Anomaly Detection || Adaptive Label Smoothing to Regularize Large-Scale Graph Training. || Towards K-means-friendly Spaces: Simultaneous Deep Learning and Clustering.
51,Language Modeling / Topic Modeling / Multilingual Neural Machine Translation / Machine Translation / Neural Machine Translation,7311,"Language Modeling, Topic Modeling, Multilingual Neural Machine Translation, Machine Translation, Neural Machine Translation","SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling || CrossTune: Black-Box Few-Shot Classification with Label Enhancement || GneissWeb: Preparing High Quality Data for LLMs at Scale || UnIVAL: Unified Model for Image, Video, Audio and Language Tasks || Retrieval-Augmented Data Augmentation for Low-Resource Domain Tasks"
112,TSK fuzzy system / DBN / TSK_DBN / interpretability / Feature set partitioning,7194,"TSK fuzzy system, DBN, TSK_DBN, interpretability, Feature set partitioning",Fuzzy DBN with Rule-Based Knowledge Representation and High Interpretability || A review of feature set partitioning methods for multi-view ensemble learning. || FEMa: a Finite Element Machine for Fast Learning || UDTIRI: an Online Open-Source Intelligent Road Inspection Benchmark Suite || MIC-Net: A Deep Network for Cross-Site Segmentation of COVID-19 Infection in the Fog-Assisted IoMT
118,transfer learning / Representation Learning / Object Detection / representation learning / gradient features,6958,"transfer learning, Representation Learning, Object Detection, representation learning, gradient features",Gradients As Features for Deep Representation Learning. || Invariance Learning in Deep Neural Networks with Differentiable Laplace Approximations. || A Survey of Deep Learning: from Activations to Transformers. || Fantastic Gains and Where to Find Them: on the Existence and Prospect of General Knowledge Transfer Between Any Pretrained Model || OoD-Bench: Quantifying and Understanding Two Dimensions of Out-of-Distribution Generalization
32,Workaround / digital desire paths / is design / case study / emergent IS design,6941,"Workaround, digital desire paths, is design, case study, emergent IS design",Digital Desire Paths: Exploring the Role of Computer Workarounds in Emergent Information Systems Design || Different Views and Evaluations of IT Artifacts. || Integrating Collaborative Learning and Advanced Technology in Industry 5.0: A Systematic Mapping Study and Taxonomy || Actualizing Big Data Analytics Affordances: A Revelatory Case Study || A Framework for Understanding Artificial Intelligence Research: Insights from Practice
26,Artificial intelligence / Technological innovation / Social networking (online) / Pricing / Consumer behavior,6909,"Artificial intelligence, Technological innovation, Social networking (online), Pricing, Consumer behavior","Modeling the Use of Online Knowledge Community: A Perspective of Needs-Affordances-Features. || Advancing Consumer Behavior: the Role of Artificial Intelligence Technologies and Knowledge Sharing || Continued Use Intention of Lifestyle Mobile Applications: the Starbucks App in Taiwan || Interaction Between Task Characteristics and Technology Affordances. || Examining Structural, Perceptual, and Attitudinal Influences on the Quality of Information Sharing in Collaborative Technology Use"
104,Graph Neural Networks / Machine Learning (ML) / Knowledge Representation And Reasoning (KRR) / Deep Learning / Kernel Methods,6852,"Graph Neural Networks, Machine Learning (ML), Knowledge Representation And Reasoning (KRR), Deep Learning, Kernel Methods",MaxUp: A Simple Way to Improve Generalization of Neural Network Training. || Learning from the Dark: Boosting Graph Convolutional Neural Networks with Diverse Negative Samples || Deep Equals Shallow for ReLU Networks in Kernel Regimes. || Condensing Graphs Via One-Step Gradient Matching || MuseGNN: Interpretable and Convergent Graph Neural Network Layers at Scale.
9,Medical image segmentation / Global context / Convolutional neural network / Spatial and excitation pyramid pooling / Deep learning (DL),6700,"Medical image segmentation, Global context, Convolutional neural network, Spatial and excitation pyramid pooling, Deep learning (DL)",GC-Net: Global Context Network for Medical Image Segmentation || Domain Generalization for Medical Image Analysis: A Review || Labelling with Dynamics: A Data-Efficient Learning Paradigm for Medical Image Segmentation || RECIST-Induced Reliable Learning: Geometry-Driven Label Propagation for Universal Lesion Segmentation. || DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images.
90,Feature extraction / Remote sensing / Object detection / Task analysis / Deep learning,6677,"Feature extraction, Remote sensing, Object detection, Task analysis, Deep learning",A Unified Deep Learning Network for Remote Sensing Image Registration and Change Detection || DIMA: Digging into Multigranular Archetype for Fine-Grained Object Detection || LSV-ANet: Deep Learning on Local Structure Visualization for Feature Matching || Boundary-Aware Feature Fusion with Dual-Stream Attention for Remote Sensing Small Object Detection || Pair-Wise Similarity Knowledge Distillation for RSI Scene Classification.
61,trustworthy machine learning / machine learning / technologies / socio-technical / Virtual assistants,6519,"trustworthy machine learning, machine learning, technologies, socio-technical, Virtual assistants",Technologies for Trustworthy Machine Learning: A Survey in a  Socio-Technical Context || SkillVet: Automated Traceability Analysis of Amazon Alexa Skills || MARBLE: Mining for Boilerplate Code to Identify API Usability Problems || Towards User-Centered Metrics for Trustworthy AI in Immersive Cyberspace || Software Engineering for AI-Based Systems: A Survey
86,Edge computing / TEE / OppNet / Resiliency / Distributed Data Stream Management System,6461,"Edge computing, TEE, OppNet, Resiliency, Distributed Data Stream Management System",Edgelet Computing: Pushing Query Processing and Liability at the Extreme Edge of the Network || Ce-Storm: Confidential Elastic Processing Of Data Streams || Adding Zero Trust in BYOD Environments Through Network Inspection. || DECIM: Detecting Endpoint Compromise in Messaging || PHOENIX: Device-Centric Cellular Network Protocol Monitoring Using Runtime Verification
67,Topic Modeling / Responsibility in AI / Adaptive Algorithms / Crowdsourcing / Explainable artificial intelligence,6423,"Topic Modeling, Responsibility in AI, Adaptive Algorithms, Crowdsourcing, Explainable artificial intelligence","TaskMatrix.AI: Completing Tasks by Connecting Foundation Models with Millions of APIs || Making Better Use of the Crowd: How Crowdsourcing Can Advance Machine Learning Research || Explainable AI (XAI): Core Ideas, Techniques, and Solutions. || Towards a Model-Driven Approach for Multiexperience AI-based User Interfaces || Training Language Models to Follow Instructions with Human Feedback"
22,Machine learning / Deep learning / Inspection / Absolute localization / UAV,6302,"Machine learning, Deep learning, Inspection, Absolute localization, UAV",Autonomous GPU-based UAS for Inspection of Confined Spaces: Application to Marine Vessel Classification || Day and Night Collaborative Dynamic Mapping in Unstructured Environment Based on Multimodal Sensors. || Autonomous Drones in Urban Navigation: Autoencoder Learning Fusion for Aerodynamics || Boost Precision Agriculture with Unmanned Aerial Vehicle Remote Sensing and Edge Intelligence: A Survey. || X-MAS: Extremely Large-Scale Multi-Modal Sensor Dataset for Outdoor Surveillance in Real Environments
