cluster,label,size,top_keywords,top_titles
81,Deep learning / Feature extraction / Visualization / Computer vision / Developments,149225,"Deep learning, Feature extraction, Visualization, Computer vision, Developments",Deep Learning for Visual Understanding: A Review. || LSV-ANet: Deep Learning on Local Structure Visualization for Feature Matching || Improving Deep Convolutional Neural Networks with Unsupervised Feature Learning || MFIL-FCOS: A Multi-Scale Fusion and Interactive Learning Method for 2D Object Detection and Remote Sensing Image Detection || DIMA: Digging into Multigranular Archetype for Fine-Grained Object Detection
61,Transformer / Feature extraction / Convolutional neural network / Image dehazing / Image denoising,13087,"Transformer, Feature extraction, Convolutional neural network, Image dehazing, Image denoising",Multi-scale Network Toward Real-World Image Denoising || Fusion of Infrared and Visible Images Via Multi-Layer Convolutional Sparse Representation || Adaptive Dual Aggregation Network with Normalizing Flows for Low-Light Image Enhancement || Dual-branch Collaborative Transformer for Effective Image Deraining || Hierarchical Damage Correlations for Old Photo Restoration
27,Design Research / Knowledge Sharing / Technology Use / Usability / User-Centered Design,12990,"Design Research, Knowledge Sharing, Technology Use, Usability, User-Centered Design",Different Views and Evaluations of IT Artifacts. || Reflections on 5 Years of Personal Informatics: Rising Concerns and Emerging Directions. || The Impact of IT Equivocality on Postadoptive Use Behaviors: Development and Validation of a Multidimensional Construct || Virtually in This Together – How Web-Conferencing Systems Enabled a New Virtual Togetherness During the COVID-19 Crisis || User Engagement and Beyond: A Conceptual Framework for Engagement in Information Systems Research
31,Local search / Combinatorial optimization / ITÖ algorithm / Large scale optimization / Multiple balanced traveling salesmen problem,12334,"Local search, Combinatorial optimization, ITÖ algorithm, Large scale optimization, Multiple balanced traveling salesmen problem",ITÖ Algorithm with Local Search for Large Scale Multiple Balanced Traveling Salesmen Problem || A Two-Echelon Inventory Routing Problem for Perishable Products || Redesigning Benders Decomposition for Large-Scale Facility Location || Order Assignment and Scheduling for Personal Protective Equipment Production During the Outbreak of Epidemics || Exact and Heuristic Algorithms for the Interval Min-Max Regret Generalized Assignment Problem.
8,distributed algorithms / distributed graph algorithms / Laplacian solvers / minor-based sparsification / Parallel algorithms,12059,"distributed algorithms, distributed graph algorithms, Laplacian solvers, minor-based sparsification, Parallel algorithms","Minor Sparsifiers and the Distributed Laplacian Paradigm || Conditional Hardness Results for Massively Parallel Computation from Distributed Lower Bounds || Fast Dynamic Cuts, Distances and Effective Resistances Via Vertex Sparsifiers. || PTAS for Sparse General-Valued CSPs || Universally-Optimal Distributed Exact Min-Cut"
43,Trial and error / Grounded theory method / User behaviour / Appropriation / Rejection,11086,"Trial and error, Grounded theory method, User behaviour, Appropriation, Rejection","Appropriating Information Technology Artefacts Through Trial and Error: the Case of the Tablet || From Physical to Digital: Investigating the Offline Drivers of the Online Use and Quality of Knowledge Exchange of an Intraorganizational Digital Collaborative Technology || Examining Structural, Perceptual, and Attitudinal Influences on the Quality of Information Sharing in Collaborative Technology Use || Information Technology Identity: A Key Determinant of IT Feature and Exploratory Usage. || Interaction Between Task Characteristics and Technology Affordances."
36,Machine Learning Interpretability / Interpretable Models / Model Interpretability / information extraction / fiction,10708,"Machine Learning Interpretability, Interpretable Models, Model Interpretability, information extraction, fiction",Augur: Mining Human Behaviors From Fiction To Power Interactive Systems || From Machine Learning to Explainable AI || A Classification and Review of Tools for Developing and Interacting with Machine Learning Systems. || Actionable Explainable AI (axai): A Practical Example with Aggregation Functions for Adaptive Classification and Textual Explanations for Interpretable Machine Learning || Interpretable Machine Learning: Moving from Mythos to Diagnostics
100,Servers / Task analysis / Computational modeling / Internet of Things / resource allocation,10077,"Servers, Task analysis, Computational modeling, Internet of Things, resource allocation",Computation Offloading and Resource Allocation Based on DT-MEC-Assisted Federated Learning Framework || Secure and Optimized Load Balancing for Multitier IoT and Edge-Cloud Computing Systems. || A Lightweight and Privacy-Preserving Authentication Protocol for Mobile Edge Computing || Metadata-Private Resource Allocation in Edge Computing Withstands Semi-Malicious Edge Nodes || Compute- and Data-Intensive Networks: the Key to the Metaverse.
62,Reinforcement Learning / Meta-Learning / Representation Learning / Transfer Learning / Semi-Supervised Learning,9760,"Reinforcement Learning, Meta-Learning, Representation Learning, Transfer Learning, Semi-Supervised Learning",Parrot: Data-Driven Behavioral Priors for Reinforcement Learning. || Generalizing Skills with Semi-Supervised Reinforcement Learning. || Generalization with Lossy Affordances: Leveraging Broad Offline Data for Learning Visuomotor Tasks || Guided Online Distillation: Promoting Safe Reinforcement Learning by Offline Demonstration || Skill-based Meta-Reinforcement Learning
89,Trajectory / Vehicle dynamics / Autonomous vehicles / Adaptation models / Predictive models,9502,"Trajectory, Vehicle dynamics, Autonomous vehicles, Adaptation models, Predictive models",TP-FRL: an Efficient and Adaptive Trajectory Prediction Method Based on the Rule and Learning-Based Frameworks Fusion || Vehicle Trajectory Prediction Method Driven by Raw Sensing Data for Intelligent Vehicles || Online Learning-Informed Feedforward-Feedback Controller Synthesis for Path Tracking of Autonomous Vehicles || Knowledge Augmented Machine Learning with Applications in Autonomous Driving: A Survey || DroNet: Learning to Fly by Driving.
98,Machine learning / Semi-Supervised Learning / deployed machine learning model / training data points / deep learning models,9234,"Machine learning, Semi-Supervised Learning, deployed machine learning model, training data points, deep learning models",Unrolling SGD: Understanding Factors Influencing Machine Unlearning || SLIDE : in Defense of Smart Algorithms over Hardware Acceleration for Large-Scale Deep Learning Systems. || BOLT: an Automated Deep Learning Framework for Training and Deploying Large-Scale Search and Recommendation Models on Commodity CPU Hardware || Bounding Training Data Reconstruction in DP-SGD || Systemization of Knowledge: Robust Deep Learning Using Hardware-software Co-Design in Centralized and Federated Settings
109,Internet-of-Things / Encryption / attribute-based encryption / Cloud computing / Privacy-preserving,9202,"Internet-of-Things, Encryption, attribute-based encryption, Cloud computing, Privacy-preserving",Lightning-Fast and Privacy-Preserving Outsourced Computation in the Cloud || Expressive Bilateral Access Control for Internet-of-Things in Cloud-Fog Computing. || Efficient Dynamic Key-Aggregate Cryptosystem for Secure and Flexible Data Sharing. || Scalable and Revocable Attribute-Based Data Sharing with Short Revocation List for IIoT || Symmetric-Key Based Proofs Of Retrievability Supporting Public Verification
83,Deep learning / Feature extraction / Information fusion / Real-time data / Heterogeneous data,9158,"Deep learning, Feature extraction, Information fusion, Real-time data, Heterogeneous data",Online Learning to Accelerate Neural Network Inference with Traveling Classifiers || Ifusion: Towards Efficient Intelligence Fusion for Deep Learning from Real-Time and Heterogeneous Data. || Marine Vessel Re-Identification: A Large-Scale Dataset and Global-and-Local Fusion-Based Discriminative Feature Learning. || UDTIRI: an Online Open-Source Intelligent Road Inspection Benchmark Suite || A Novel Fusion Feature Imageization with Improved Extreme Learning Machine for Network Anomaly Detection
22,digital follow-up actions / predictive interface / large language models / dataset / pervasive augmented reality,8844,"digital follow-up actions, predictive interface, large language models, dataset, pervasive augmented reality",OmniActions: Predicting Digital Actions in Response to Real-World Multimodal Sensory Inputs with LLMs || Context-Based Interface Prototyping: Understanding the Effect of Prototype Representation on User Feedback. || Move Your Body: Engaging Museum Visitors with Human-Data Interaction. || SAPIENS in XR: Operationalizing Interaction-Attention in Extended Reality. || Adapting Visualizations and Interfaces to the User.
104,Training / Servers / Computational modeling / Federated learning / Internet of Things,8836,"Training, Servers, Computational modeling, Federated learning, Internet of Things",Towards Asynchronous Federated Learning Based Threat Detection: A DC-Adam Approach || Distributed Learning on Mobile Devices: A New Approach to Data Mining in the Internet of Things || A Review of On-Device Machine Learning for IoT: an Energy Perspective || Budgeted Online Selection of Candidate IoT Clients to Participate in Federated Learning || Towards Asynchronous Federated Learning for Heterogeneous Edge-Powered Internet of Things
72,automatic target recognition (ATR) / Time series / Deep learning / Transformer / SAR data,8586,"automatic target recognition (ATR), Time series, Deep learning, Transformer, SAR data",Orchard Classification Based on Super-Pixels and Deep Learning with Sparse Optical Images || Intelligent Detection and Segmentation of Space-Borne SAR Radio Frequency Interference || Active Multiview Fusion Framework for SAR Automatic Target Recognition || Decision Fusion of Deep Learning and Shallow Learning for Marine Oil Spill Detection || On-Board Real-Time Ship Detection in HISEA-1 SAR Images Based on CFAR and Lightweight Deep Learning
16,Language Modeling / Topic Modeling / Language Understanding / Neural Machine Translation / Multilingual Neural Machine Translation,8490,"Language Modeling, Topic Modeling, Language Understanding, Neural Machine Translation, Multilingual Neural Machine Translation","Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || Baichuan 2: Open Large-scale Language Models || SILT: Efficient Transformer Training for Inter-Lingual Inference || Can Pretrained English Language Models Benefit Non-English NLP Systems in Low-Resource Scenarios? || GLUE-X: Evaluating Natural Language Understanding Models from an Out-of-distribution Generalization Perspective."
37,Remote sensing / remote sensing / Image restoration / Feature extraction / Training,8259,"Remote sensing, remote sensing, Image restoration, Feature extraction, Training",MASCAR: Multidomain Adaptive Spatial–Spectral Variable Compression Artifact Removal Network for Multispectral Remote Sensing Images || Ada4dir: an Adaptive Model-Driven All-in-One Image Restoration Network for Remote Sensing Images || Remote Sensing Image Pan-Sharpening Via Pixel Difference Enhance || Fusion of Infrared and Visible Images Via Multi-Layer Convolutional Sparse Representation || From Multi-Scale Decomposition to Non-Multi-Scale Decomposition Methods: A Comprehensive Survey of Image Fusion Techniques and Its Applications.
105,Federated learning / Computational modeling / Servers / Resource management / Industrial Internet of Things,8197,"Federated learning, Computational modeling, Servers, Resource management, Industrial Internet of Things",Optimizing Federated Learning in Distributed Industrial IoT: A Multi-Agent Approach. || Convergence Analysis and Latency Minimization for Semi-Federated Learning in Massive IoT Networks || Deep Learning for Hybrid 5G Services in Mobile Edge Computing Systems: Learn from a Digital Twin || CrowdLearning: A Decentralized Distributed Training Framework Based on Collectives of Trusted AIoT Devices || Adaptive Clustering Based Straggler-aware Federated Learning in Wireless Edge Networks
108,Internet of Things / Authentication / Protocols / Cloud computing / Industrial Internet of Things,8168,"Internet of Things, Authentication, Protocols, Cloud computing, Industrial Internet of Things",Leakage-Resilient Authenticated Key Exchange for Edge Artificial Intelligence || Authenticated Key Agreement Scheme for Fog-Driven IoT Healthcare System. || Scalable and Revocable Attribute-Based Data Sharing with Short Revocation List for IIoT || A Lightweight Architecture for Hardware-Based Security in the Emerging Era of Systems of Systems || Provably Secured Lightweight Authenticated Key Agreement Protocol for Modern Health Industry.
54,Representation learning / semi-nonnegative matrix factorization / deep network / clustering / Self-supervised learning,7900,"Representation learning, semi-nonnegative matrix factorization, deep network, clustering, Self-supervised learning",DNSRF: Deep Network-based Semi-NMF Representation Framework || Contextual Features Online Prediction for Self-Supervised Graph Representation. || CDFKD-MFS: Collaborative Data-free Knowledge Distillation Via Multi-level Feature Sharing || Multi-View Network Representation Learning Algorithm Research || Revisiting Multi-View Learning: A Perspective of Implicitly Heterogeneous Graph Convolutional Network
115,data parallelism / pipeline parallelism / deep learning / Training / Edge intelligence,7720,"data parallelism, pipeline parallelism, deep learning, Training, Edge intelligence",Asteroid: Resource-Efficient Hybrid Pipeline Parallelism for Collaborative DNN Training on Heterogeneous Edge Devices || FedDCT: Federated Learning of Large Convolutional Neural Networks on Resource Constrained Devices Using Divide and Collaborative Training || Tuning DNN Model Compression to Resource and Data Availability in Cooperative Training || FedMask: Joint Computation and Communication-Efficient Personalized Federated Learning via Heterogeneous Masking || A Data-Centric Optimization Framework for Machine Learning
34,Data visualization / Three-dimensional displays / immersive analytics / immersive visualization / stereoscopic visualization,7555,"Data visualization, Three-dimensional displays, immersive analytics, immersive visualization, stereoscopic visualization",Navigable Videos for Presenting Scientific Data on Affordable Head-Mounted Displays || Nearmi: A Framework for Designing Point of Interest Techniques for VR Users with Limited Mobility || Visual Highlighting for Situated Brushing and Linking || Good Keyframes to Inpaint. || Expanding the Horizons of Situated Visualization: the Extended SV Model
59,Deepfakes / Forgery / Faces / Feature extraction / Deepfake detection,7510,"Deepfakes, Forgery, Faces, Feature extraction, Deepfake detection",Deep Learning for Fixed Model Reuse. || Improving Generalization of Deepfake Detectors by Imposing Gradient Regularization || DSSE-net: Dual Stream Skip Edge-Enhanced Network with Forgery Loss for Image Forgery Localization || ImageNet Pre-trained CNNs for JPEG Steganalysis || Improving EfficientNet for JPEG Steganalysis.
91,Data models / deep learning / Deep learning / Predictive models / Neural networks,7251,"Data models, deep learning, Deep learning, Predictive models, Neural networks",Neuroplex: learning to detect complex events in sensor networks through knowledge injection || Demystifying Deep Learning in Predictive Spatiotemporal Analytics: an Information-Theoretic Framework. || Small Data Challenges for Intelligent Prognostics and Health Management: a Review || An End-to-End Deep Learning Framework for Fault Detection in Marine Machinery || IoT-based Predictive Maintenance for Fleet Management
113,Federated Learning / Energy efficiency / High performance edge computing / Artificial intelligence / Data lake,7089,"Federated Learning, Energy efficiency, High performance edge computing, Artificial intelligence, Data lake","Energy Data Classification at the Edge: a Comparative Study for Energy Efficiency Applications || Lightweight Privacy-Preserving Predictive Maintenance in 6G Enabled IIoT || Federated Deep Learning for Heterogeneous Edge Computing || Crossing Roads of Federated Learning and Smart Grids: Overview, Challenges, and Perspectives. || SHT-based Public Auditing Protocol with Error Tolerance in FDL-empowered IoVs"
103,Federated learning / ML modules / black-box attacks / transfer attacks / cloud-based ML services,6823,"Federated learning, ML modules, black-box attacks, transfer attacks, cloud-based ML services",FaDec: A Fast Decision-based Attack for Adversarial Machine Learning. || TraceArk: Towards Actionable Performance Anomaly Alerting for Online Service Systems. || Federated Learning Aided Deep Convolutional Neural Network Solution for Smart Traffic Management. || MonitorAssistant: Simplifying Cloud Service Monitoring Via Large Language Models || Digital Twin Enhanced Federated Reinforcement Learning with Lightweight Knowledge Distillation in Mobile Networks
55,Representation Learning / Robust Learning / Transfer Learning / Few-Shot Learning / Deep Learning,6659,"Representation Learning, Robust Learning, Transfer Learning, Few-Shot Learning, Deep Learning",Deep Learning for Fixed Model Reuse. || OoD-Bench: Quantifying and Understanding Two Dimensions of Out-of-Distribution Generalization || Domain-Adjusted Regression Or: ERM May Already Learn Features Sufficient for Out-of-Distribution Generalization || Invariance Learning in Deep Neural Networks with Differentiable Laplace Approximations. || Verifying the Generalization of Deep Learning to Out-of-Distribution Domains
49,Laser radar / Object detection / Dynamic environment / Three-dimensional displays / Feature extraction,6579,"Laser radar, Object detection, Dynamic environment, Three-dimensional displays, Feature extraction","The RoboDrive Challenge: Drive Anytime Anywhere in Any Condition || Perception, Distance Estimation, and Tracking Integration from BEV Representations. || GSL-VO: A Geometric-Semantic Information Enhanced Lightweight Visual Odometry in Dynamic Environments. || An Adaptive Network Fusing Light Detection and Ranging Height-Sliced Bird’s-Eye View and Vision for Place Recognition || A Survey of Visual SLAM in Dynamic Environment: the Evolution from Geometric to Semantic Approaches"
66,deep learning / adversarial examples / adversarial training / autoencoders / hidden state,6455,"deep learning, adversarial examples, adversarial training, autoencoders, hidden state","Fortified Networks: Improving the Robustness of Deep Networks by Modeling the Manifold of Hidden Representations. || Tuning DNN Model Compression to Resource and Data Availability in Cooperative Training || Visual Prompting Upgrades Neural Network Sparsification: A Data-Model Perspective || Lightweight Deep Learning: an Overview || Mathematical Introduction to Deep Learning: Methods, Implementations,   and Theory"
48,Deep learning / computer vision / Pose estimation / Computer vision / 3D human pose estimation,6414,"Deep learning, computer vision, Pose estimation, Computer vision, 3D human pose estimation",HADE: Exploiting Human Action Recognition Through Fine-Tuned Deep Learning Methods || A Comprehensive Analysis of Deep Regression || Efficient Monocular Human Pose Estimation Based on Deep Learning Methods: A Survey || JoyPose: Jointly Learning Evolutionary Data Augmentation and Anatomy-Aware Global–local Representation for 3D Human Pose Estimation || From Detection to Understanding: A Survey on Representation Learning for Human-Object Interaction.
64,Image restoration / Feature extraction / Optical imaging / Decoding / Estimation,6290,"Image restoration, Feature extraction, Optical imaging, Decoding, Estimation",Deep Video Deblurring Using Sharpness Features from Exemplars. || Image De-Raining Transformer. || Robust High Dynamic Range (HDR) Imaging with Complex Motion and Parallax. || Hierarchical Separable Video Transformer for Snapshot Compressive Imaging || Single Image Deraining Via Deep Shared Pyramid Network.
107,resource allocation / Servers / Federated learning / mobile edge computing / Task analysis,6167,"resource allocation, Servers, Federated learning, mobile edge computing, Task analysis",Federated Learning Via Over-the-Air Computation || Communication-Efficient Federated Learning for Wireless Edge Intelligence in IoT || Advanced Deep Learning for Resource Allocation and Security Aware Data Offloading in Industrial Mobile Edge Computing. || ERP: Edge Resource Pooling for Data Stream Mobile Computing. || Reinforcement-Learning- and Belief-Learning-Based Double Auction Mechanism for Edge Computing Resource Allocation
74,NOMA / Receivers / Array signal processing / Encoding / Relays,6158,"NOMA, Receivers, Array signal processing, Encoding, Relays",Coded Tandem Spreading Multiple Access for Massive Machine-Type Communications || An Alternative Non-cooperative Transmission Scheme Based on Coded Redundant Information || Enhancing PHY-Security of FD-Enabled NOMA Systems Using Jamming and User Selection: Performance Analysis and DNN Evaluation || Beamforming Optimization for Physical Layer Security in MISO Wireless Networks || Interference Mitigation Via Rate-Splitting and Common Message Decoding in Cloud Radio Access Networks.
44,Generative Artificial Intelligence / ChatGPT / computational notebooks / User reviews / app store analytics,5925,"Generative Artificial Intelligence, ChatGPT, computational notebooks, User reviews, app store analytics",A System's Approach Taxonomy for User-Centred XAI: A Survey || Human-AI Collaboration in Thematic Analysis Using ChatGPT: A User Study and Design Recommendations || Themisto: Towards Automated Documentation Generation in Computational Notebooks || Wikipedia ORES Explorer: Visualizing Trade-offs for Designing Applications with Machine Learning API. || LLMs As Research Tools: Applications and Evaluations in HCI Data Work
7,Medical image segmentation / Image segmentation / Medical Imaging / Anatomical structure / Deep neural network,5893,"Medical image segmentation, Image segmentation, Medical Imaging, Anatomical structure, Deep neural network",Labelling with Dynamics: A Data-Efficient Learning Paradigm for Medical Image Segmentation || OFF-eNET: an Optimally Fused Fully End-to-End Network for Automatic Dense Volumetric 3D Intracranial Blood Vessels Segmentation. || DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images. || Adaptive Feature Aggregation Based Multi-Task Learning for Uncertainty-Guided Semi-Supervised Medical Image Segmentation. || Boosting Medical Image Segmentation Performance with Adaptive Convolution Layer
17,3D Human Pose / 3D from single images / Unsupervised Learning / Pose Estimation / Multiple Object Tracking,5828,"3D Human Pose, 3D from single images, Unsupervised Learning, Pose Estimation, Multiple Object Tracking",HSPACE: Synthetic Parametric Humans Animated in Complex Environments || Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations. || CIRCLE: Capture in Rich Contextual Environments. || Human Performance Capture from Monocular Video in the Wild || ChallenCap: Monocular 3D Capture of Challenging Human Performances Using Multi-Modal References.
70,machine learning / transfer learning / Deep learning / Training / Collaborative work,5808,"machine learning, transfer learning, Deep learning, Training, Collaborative work",Synchronous Dynamic View Learning: a Framework for Autonomous Training of Activity Recognition Models Using Wearable Sensors. || Plug-N-Learn: Automatic Learning of Computational Algorithms in Human-Centered Internet-Of-Things Applications || Federated Learning: A Signal Processing Perspective || EEG-Based Brain-Computer Interfaces (BCIs): A Survey of Recent Studies on Signal Sensing Technologies and Computational Intelligence Approaches and Their Applications || Federated Adam-Type Algorithm for Distributed Optimization with Lazy Strategy.
58,deep learning / convolutional neural networks / computer architecture / Computer architecture / Computational modeling,5797,"deep learning, convolutional neural networks, computer architecture, Computer architecture, Computational modeling","Hardware and Software Optimizations for Accelerating Deep Neural Networks: Survey of Current Trends, Challenges, and the Road Ahead || Going Deeper with Convolutions || Deep Learning at Scale and at Ease || Singa: Putting Deep Learning In The Hands Of Multimedia Users || Corun: Concurrent Inference and Continuous Training at the Edge for Cost-Efficient AI-Based Mobile Image Sensing"
18,Secure Multi-party Computation / Privacy-Preserving Computation / Searchable Encryption / Secure Computation / Pairing-based Cryptography,5784,"Secure Multi-party Computation, Privacy-Preserving Computation, Searchable Encryption, Secure Computation, Pairing-based Cryptography",Tetrad: Actively Secure 4PC for Secure Training and Inference || MPClan: Protocol Suite for Privacy-Conscious Computations. || Richer Efficiency/Security Trade-offs in 2PC || Protecting Distributed Primitives Against Leakage: Equivocal Secret Sharing and More. || LevioSA: Lightweight Secure Arithmetic Computation.
46,Runtime verification / Taxonomy / Tool / Classification / Mindmap,5740,"Runtime verification, Taxonomy, Tool, Classification, Mindmap","A Taxonomy for Classifying Runtime Verification Tools || Honeyquest: Rapidly Measuring the Enticingness of Cyber Deception Techniques with Code-based Questionnaires || Towards a Software Product Line for Machine Learning Workflows: Focus on Supporting Evolution. || Software-Intensive Systems for Smart Cities: from Ensembles to Superorganisms. || From Features Engineering to Scenarios Engineering for Trustworthy AI: I&I, C&C, and V&V"
69,Massive MIMO / interference channel / wideband transmission / Channel estimation / OFDM,5674,"Massive MIMO, interference channel, wideband transmission, Channel estimation, OFDM",Multi-RIS-Empowered Multiple Access: A Distributed Sum-Rate Maximization Approach || Network Deployment for Maximal Energy Efficiency in Uplink with Multislope Path Loss || Joint Precoder and Decoder Design in Downlink Multi-User MIMO C-RAN with Imperfect CSI. || Subset MMSE Receivers for Cell-Free Networks || Cooperative Hybrid Transmit Beamforming in Cell-free Mmwave MIMO Networks
28,virtual reality / Virtual reality / Head-mounted displays / Dual-hand input devices / Interaction design,5601,"virtual reality, Virtual reality, Head-mounted displays, Dual-hand input devices, Interaction design","User-elicited Dual-Hand Interactions for Manipulating 3D Objects in Virtual Reality Environments || User Representations in Human-Computer Interaction || FaceDisplay: Towards Asymmetric Multi-User Interaction for Nomadic Virtual Reality. || Interaction in an Immersive Collaborative Virtual Reality Environment: A Comparison Between Leap Motion and HTC Controllers. || Authoring Moving Parts of Objects in AR, VR and the Desktop"
71,finite-time analysis / regret analysis / distributed dynamic parameters estimation / time-varying parameter / noisy signals,5453,"finite-time analysis, regret analysis, distributed dynamic parameters estimation, time-varying parameter, noisy signals",Distributed Estimation of Dynamic Parameters: Regret Analysis || Distributed Online Optimization in Dynamic Environments Using Mirror Descent. || Finite-time Analysis of the Distributed Detection Problem. || Distributed Detection: Finite-Time Analysis and Impact of Network Topology. || A Nonautonomous-Differential-inclusion Neurodynamic Approach for Nonsmooth Distributed Optimization on Multi-Agent Systems
50,Visual Question Answering / Object Recognition / Robot Navigation / Real-Time Planning / Optimal Motion Planning,5442,"Visual Question Answering, Object Recognition, Robot Navigation, Real-Time Planning, Optimal Motion Planning","Deep Learning for Vision-based Prediction: A Survey || CASTNet: A Context-Aware, Spatio-Temporal Dynamic Motion Prediction Ensemble for Autonomous Driving || DriveVLM: the Convergence of Autonomous Driving and Large Vision-Language Models || L3MVN: Leveraging Large Language Models for Visual Target Navigation || ST-P3: End-to-end Vision-based Autonomous Driving Via Spatial-Temporal Feature Learning"
