cluster,label,size,top_keywords,top_titles
68,machine learning / Federated Learning / privacy-preserving protocols / secure aggregation / federated learning,3046,"machine learning, Federated Learning, privacy-preserving protocols, secure aggregation, federated learning","Practical Secure Aggregation for Privacy-Preserving Machine Learning || Mastic: Private Weighted Heavy-Hitters and Attribute-Based Metrics. || ShapleyFL: Robust Federated Learning Based on Shapley Value. || SecKNN: FSS-Based Secure Multi-Party KNN Classification under General Distance Functions || Adaptive Verifiable Coded Computing: Towards Fast, Secure and Private Distributed Machine Learning"
33,human factors / Software engineering / Requirements Engineering / Software Ecosystems / Human and Social Factors,2700,"human factors, Software engineering, Requirements Engineering, Software Ecosystems, Human and Social Factors",Investigating Human and Social Factors in Requirements Engineering in Software Ecosystems. || Valuating Requirements Arguments in the Online User's Forum for Requirements Decision‐making: the CrowdRE‐VArg Framework || Factors That Affect Developers' Decision to Participate in a Mobile Software Ecosystem. || Human-centric Software Engineering for Next Generation Cloud- and Edge-based Smart Living Applications || Cognition in Software Engineering: A Taxonomy and Survey of a Half-Century of Research
1,Topic Modeling / Language Modeling / Machine Translation / Multilingual Neural Machine Translation / Interpretable Models,40386,"Topic Modeling, Language Modeling, Machine Translation, Multilingual Neural Machine Translation, Interpretable Models","Augmenting Interpretable Models with Large Language Models During Training || SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling || UnIVAL: Unified Model for Image, Video, Audio and Language Tasks || CrossTune: Black-Box Few-Shot Classification with Label Enhancement || InPars: Data Augmentation for Information Retrieval using Large Language   Models"
24,multimodal model learning / robot dynamics / mixture of Gaussian process experts / controlled industrial environment / human operator,9636,"multimodal model learning, robot dynamics, mixture of Gaussian process experts, controlled industrial environment, human operator",Learning Multimodal Models for Robot Dynamics Online with a Mixture of Gaussian Process Experts. || Multimodal Fusion for Autonomous Navigation Via Deep Reinforcement Learning with Sparse Rewards and Hindsight Experience Replay. || Dynablox: Real-time Detection of Diverse Dynamic Objects in Complex Environments || Deep Neural Networks As Add-on Modules for Enhancing Robot Performance in Impromptu Trajectory Tracking || IR-MCL: Implicit Representation-Based Online Global Localization
46,Machine Learning for Robot Control / Model Learning for Control / Wheeled Robots / locally linear dynamics model / optimal control schemes,10194,"Machine Learning for Robot Control, Model Learning for Control, Wheeled Robots, locally linear dynamics model, optimal control schemes","Hamiltonian Dynamics Learning from Point Cloud Observations for Nonholonomic Mobile Robot Control || Goal-driven Dynamics Learning Via Bayesian Optimization. || Learning Contraction Policies from Offline Data || Continual Learning for Real-World Autonomous Systems: Algorithms, Challenges and Frameworks || Contraction-Based Methods for Stable Identification and Robust Machine Learning: a Tutorial"
47,3D from single images / Face and gestures / Image and video synthesis and generation / Pose estimation and tracking / Segmentation,12088,"3D from single images, Face and gestures, Image and video synthesis and generation, Pose estimation and tracking, Segmentation",LOLNeRF: Learn from One Look || Rethinking Local and Global Feature Representation for Dense Prediction || Explicit Composition of Neural Radiance Fields by Learning an Occlusion Field. || Object-level Scene Deocclusion || Rethinking Spatiotemporal Feature Learning for Video Understanding.
35,distributed optimization / Convergence / Data models / Servers / federated learning,15828,"distributed optimization, Convergence, Data models, Servers, federated learning",FedDANE: A Federated Newton-Type Method || Supervised Learning under Distributed Features || Accelerating Federated Learning by Selecting Beneficial Herd of Local Gradients. || Fast-Convergent Federated Learning. || Communication-Efficient Distributed SGD with Compressed Sensing
18,Deep learning / Machine Learning / Artificial Intelligence / Application Development / Framework,3245,"Deep learning, Machine Learning, Artificial Intelligence, Application Development, Framework",Towards Engineering Artificial Intelligence-based Applications || EVFL: an Explainable Vertical Federated Learning for Data-Oriented Artificial Intelligence Systems || Explainable AI Methods - A Brief Overview. || Greybox XAI: A Neural-Symbolic Learning Framework to Produce Interpretable Predictions for Image Classification || Clover: Toward Sustainable AI with Carbon-Aware Machine Learning Inference Service
27,Deep learning / Transfer learning / Feature extraction / Convolution / Lungs,6323,"Deep learning, Transfer learning, Feature extraction, Convolution, Lungs",Identity-Mapping ResFormer: A Computer-Aided Diagnosis Model for Pneumonia X-Ray Images || MSFNet-2SE: A Multi-Scale Fusion Convolutional Network for Alzheimer's Disease Classification on Magnetic Resonance Images || Multiscale Feature Enhanced Gating Network for Atrial Fibrillation Detection || DAEEGViT: A Domain Adaptive Vision Transformer Framework for EEG Cognitive State Identification || Personalized Blood Pressure Estimation Using Multiview Fusion Information of Wearable Physiological Signals and Transfer Learning
25,classification / remote sensing / Augmentation / custom deep model / features fusion,17768,"classification, remote sensing, Augmentation, custom deep model, features fusion",Remote Sensing Scene Image Classification Based on Dense Fusion of Multi-level Features || RSMamba: Remote Sensing Image Classification with State Space Model || A Unified Super-Resolution Framework of Remote Sensing Satellite Images Classification Based on Information Fusion of Novel Deep Convolutional Neural Network Architectures || On the Selective and Invariant Representation of DCNN for High-Resolution Remote Sensing Image Recognition. || Greedy Annotation of Remote Sensing Image Scenes Based on Automatic Aggregation via Hierarchical Similarity Diffusion.
2,deep learning / Scene Reconstruction / simulation / object detection / autonomous driving,2464,"deep learning, Scene Reconstruction, simulation, object detection, autonomous driving",Driving in the Matrix: Can Virtual Worlds Replace Human-Generated Annotations for Real World Tasks? || WildFusion: Learning 3D-Aware Latent Diffusion Models in View Space || MegaScenes: Scene-Level View Synthesis at Scale || SDF-SRN: Learning Signed Distance 3D Object Reconstruction from Static Images. || Partial-View Object View Synthesis Via Filtering Inversion
44,Convex Optimization / Large-Scale Optimization / machine learning / domain decomposition / FETI-DP,11694,"Convex Optimization, Large-Scale Optimization, machine learning, domain decomposition, FETI-DP",Machine Learning in Adaptive Domain Decomposition Methods - Predicting the Geometric Location of Constraints. || Uniform Error Estimates for Artificial Neural Network Approximations for Heat Equations || From Continuous-Time Formulations to Discretization Schemes: Tensor Trains and Robust Regression for BSDEs and Parabolic PDEs. || A Generic Approach for Escaping Saddle Points || Energetic Variational Neural Network Discretizations of Gradient Flows
32,Feature extraction / Analytical models / Stakeholders / Configuration management / performance,2129,"Feature extraction, Analytical models, Stakeholders, Configuration management, performance",White-Box Performance-Influence Models: A Profiling and Learning Approach || When to Extract Features: Towards a Recommender System || Towards a Better Understanding of Software Features and Their Characteristics: A Case Study of Marlin. || Do You Remember This Source Code? || Dominoes: an Interactive Exploratory Data Analysis Tool for Software Relationships.
66,Task analysis / Data mining / representation learning / unsupervised feature selection / Unsupervised learning,11930,"Task analysis, Data mining, representation learning, unsupervised feature selection, Unsupervised learning",Multitask Representation Learning with Multiview Graph Convolutional Networks || PartNRL: Partial Nodes Representation Learning in Large-Scale Network. || Joint Multi-view Unsupervised Feature Selection and Graph Learning || Multi-Level Network Embedding with Boosted Low-Rank Matrix Approximation || Multi-view Representation Model Based on Graph Autoencoder.
10,Medical image segmentation / CNN / Attention mechanism / Image segmentation / Semantics,10892,"Medical image segmentation, CNN, Attention mechanism, Image segmentation, Semantics",SBC-UNet: A Network Based on Improved Hourglass Attention Mechanism and U-Net for Medical Image Segmentation. || CCFNet: Collaborative Cross-Fusion Network for Medical Image Segmentation || A Feature Fusion Module Based on Complementary Attention for Medical Image Segmentation || CPSNet: a Cyclic Pyramid-Based Small Lesion Detection Network || LM-Net: A Light-Weight and Multi-Scale Network for Medical Image Segmentation.
43,Platform ecosystem / IS feature use / IS use behavior / Time characteristics / Data-driven perspective,3882,"Platform ecosystem, IS feature use, IS use behavior, Time characteristics, Data-driven perspective","Analyzing Enterprise Information System's Feature Use: a Data-Driven Perspective || A Value Co-Creation Perspective on Data Labeling in Hybrid Intelligence Systems: A Design Study || Knowledge Sharing in Digital Platform Ecosystems – A Textual Analysis of SAP’s Developer Community || Trustworthy Artificial Intelligence: A Decision-Making Taxonomy of Potential Challenges || Core, Intertwined, and Ecosystem-Specific Clusters in Platform Ecosystems: Analyzing Similarities in the Digital Transformation of the Automotive, Blockchain, Financial, Insurance and IIoT Industry"
49,Observers / Adaptive control / Convergence / Artificial neural networks / multiagent systems,7649,"Observers, Adaptive control, Convergence, Artificial neural networks, multiagent systems",Saturated Threshold Event-Triggered Control for Multiagent Systems under Sensor Attacks and Its Application to UAVs. || Event-triggered Finite-Time Consensus for Stochastic Multi-Agent Systems. || Cooperative Tracking Control for Nonlinear MASs under Event-Triggered Communication || Event-Based Prescribed-Time Output Regulation of Uncertain Nonlinear Multiagent Systems || Event-Based Finite-Time Control for Nonlinear Multiagent Systems with Asymptotic Tracking
11,Deep learning / Data models / Remote sensing / machine learning / Training,1741,"Deep learning, Data models, Remote sensing, machine learning, Training",Deep Learning in Multimodal Remote Sensing Data Fusion: A Comprehensive Review || Accounting for Training Data Error in Machine Learning Applied to Earth Observations. || Are the Current Expectations for SAR Remote Sensing of Soil Moisture Using Machine Learning Over-Optimistic? || Satellite Images Reveal Rapid Development of Global Water-Based Photovoltaic over the Past 20 Years || AMSSE-Net: Adaptive Multiscale Spatial–Spectral Enhancement Network for Classification of Hyperspectral and LiDAR Data
48,Federated learning / Convergence / Optimization / Data models / Servers,4525,"Federated learning, Convergence, Optimization, Data models, Servers","Opportunities of Federated Learning in Connected, Cooperative, and Automated Industrial Systems || Federated Learning Via Inexact ADMM || Bayesian Learning for Double-RIS Aided ISAC Systems with Superimposed Pilots and Data || Power Control in Cellular Massive MIMO with Varying User Activity: A Deep Learning Solution || FedGiA: an Efficient Hybrid Algorithm for Federated Learning"
8,machine learning / high performance computing / Machine learning / Artificial intelligence / Algorithm,3036,"machine learning, high performance computing, Machine learning, Artificial intelligence, Algorithm",Machine Learning for Health: Algorithm Auditing & Quality Control || A Cloud-Based Framework for Machine Learning Workloads and Applications || Trillion Parameter AI Serving Infrastructure for Scientific Discovery: A Survey and Vision || Therapeutics Data Commons: Machine Learning Datasets and Tasks for Drug Discovery and Development || Deep Learning in Healthcare: an In-Depth Analysis
54,Deep learning / Fault diagnosis / Lightweight / Object detection / Unsupervised learning,7005,"Deep learning, Fault diagnosis, Lightweight, Object detection, Unsupervised learning",Unsupervised Visual Feature Learning Based on Similarity Guidance || Digital Twin-Driven Focal Modulation-Based Convolutional Network for Intelligent Fault Diagnosis. || ODNet: A High Real-Time Network Using Orthogonal Decomposition for Few-Shot Strip Steel Surface Defect Classification || Online Semisupervised Broad Learning System for Industrial Fault Diagnosis || Towards Automatic Visual Inspection: A Weakly Supervised Learning Method for Industrial Applicable Object Detection
61,edge computing / Computation offloading / Federated learning / Edge computing / IoV,5499,"edge computing, Computation offloading, Federated learning, Edge computing, IoV",Joint Optimization of Energy Conservation and Privacy Preservation for Intelligent Task Offloading in MEC-Enabled Smart Cities || Task Offloading Mechanism Based on Federated Reinforcement Learning in Mobile Edge Computing || TSPR: A Trusted Service Prerequest System for Efficient Data Processing in C-ITS || SCEI: A Smart-Contract Driven Edge Intelligence Framework for IoT Systems || Intelligent Offloading for Collaborative Smart City Services in Edge Computing
59,Classification / feature selection / Optimization / ReliefF / Feature extraction,3242,"Classification, feature selection, Optimization, ReliefF, Feature extraction",A Multi-Objective Evolutionary Approach to Training Set Selection for Support Vector Machine || Differential Evolution for Filter Feature Selection Based on Information Theory and Feature Ranking || Differential Evolution-Based Feature Selection: A Niching-Based Multiobjective Approach || MC2ESVM: Multiclass Classification Based on Cooperative Evolution of Support Vector Machines || Multiple Reference Points-Based Decomposition for Multiobjective Feature Selection in Classification: Static and Dynamic Mechanisms
62,Multi-view learning / Graph convolutional network / Transfer Learning / Domain Adaptation / Unsupervised Learning,6298,"Multi-view learning, Graph convolutional network, Transfer Learning, Domain Adaptation, Unsupervised Learning",GradMix: Multi-source Transfer Across Domains and Tasks. || Generative Essential Graph Convolutional Network for Multi-View Semi-Supervised Classification || Multi-view Graph Convolutional Networks with Differentiable Node Selection. || Deep Random Walk of Unitary Invariance for Large-Scale Data Representation. || Interpretable Graph Convolutional Network for Multi-View Semi-Supervised Learning
51,Deep learning / Predictive maintenance / Predictive models / Electricity load forecasting / Logistics,6323,"Deep learning, Predictive maintenance, Predictive models, Electricity load forecasting, Logistics",IoT-driven Load Forecasting with Machine Learning for Logistics Planning || A Survey of Deep Learning-Driven Architecture for Predictive Maintenance || Self-supervised Learning for Remaining Useful Life Prediction Using Simple Triplet Networks || A Novel Online Sequential Extreme Learning Machine for Gas Utilization Ratio Prediction in Blast Furnaces || Idea and Application to Explain Active Learning for Low-Carbon Sustainable AIoT
38,Task analysis / Vehicle dynamics / Servers / Autonomous aerial vehicles / deep reinforcement learning,6800,"Task analysis, Vehicle dynamics, Servers, Autonomous aerial vehicles, deep reinforcement learning",UAV-assisted Heterogeneous Multi-Server Computation Offloading with Enhanced Deep Reinforcement Learning in Vehicular Networks || Joint Data Caching and Computation Offloading in UAV-assisted Internet of Vehicles Via Federated Deep Reinforcement Learning || Federated Machine Learning for Intelligent IoT Via Reconfigurable Intelligent Surface || Federated Learning Via Over-the-Air Computation || Collaborative Computation Offloading and Resource Allocation in Multi-UAV-Assisted IoT Networks: A Deep Reinforcement Learning Approach
56,neural network learning / Data models / few-shot learning / reinforcement learning / Training,11502,"neural network learning, Data models, few-shot learning, reinforcement learning, Training",Federated Multitask Learning for HyperFace || Exploring the Horizons of Meta-Learning in Neural Networks: A Survey of the State-of-the-Art || Toward Industrial Densely Packed Object Detection: A Federated Semi-Supervised Learning Approach || Parallel Learning: Overview and Perspective for Computational Learning Across Syn2Real and Sim2Real. || Universal Approximation with Convex Optimization: Gimmick or Reality? [discussion Forum]
65,Data models / Training / federated learning / Communication efficiency / Computational modeling,5856,"Data models, Training, federated learning, Communication efficiency, Computational modeling",Accelerating Communication-efficient Federated Multi-Task Learning with Personalization and Fairness || FlexiFed: Personalized Federated Learning for Edge Clients with Heterogeneous Model Architectures || ONDS: Optimum Node and Data Selection from Constrained IoT for Efficient Online Learning || Ternary Compression for Communication-Efficient Federated Learning. || A Federated Data-Driven Evolutionary Algorithm
64,Heuristics / reinforcement learning / heuristics / algorithm selection problem / automatic algorithm configuration,2255,"Heuristics, reinforcement learning, heuristics, algorithm selection problem, automatic algorithm configuration",Stochastic Local Search and Parameters Recommendation: a Case Study on Flowshop Problems || Flowshop NEH-Based Heuristic Recommendation || A New Constructive Heuristic Driven by Machine Learning for the Traveling Salesman Problem || Controllable Multi-Objective Re-ranking with Policy Hypernetworks || A Branch-and-price Algorithm for the Minimum Latency Problem
26,Medical image segmentation / Transfer Learning / Dynamic convolution / Medical Image Analysis / Feature Extraction,12451,"Medical image segmentation, Transfer Learning, Dynamic convolution, Medical Image Analysis, Feature Extraction",Multi-compound Transformer for Accurate Biomedical Image Segmentation || NFN＋: A Novel Network Followed Network for Retinal Vessel Segmentation. || Labelling with Dynamics: A Data-Efficient Learning Paradigm for Medical Image Segmentation || Learning from Partially Labeled Data for Multi-Organ and Tumor Segmentation || MSFM-UNET: Enhancing Medical Image Segmentation with Multi-Scale and Multi-View Frequency Fusion
22,Machine Learning / Deep Learning / Data models / Machine learning / Federated datasets,2264,"Machine Learning, Deep Learning, Data models, Machine learning, Federated datasets","Federated TON_IoT Windows Datasets for Evaluating AI-based Security Applications || When Federated Learning Meets Game Theory: A Cooperative Framework to Secure IIoT Applications on Edge Computing || A Scalable Federated Learning Approach for Collaborative Smart Healthcare Systems with Intermittent Clients Using Medical Imaging. || Machine Learning Applications in Internet-of-Drones: Systematic Review, Recent Deployments, and Open Issues || TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems."
21,Deep learning / Electroencephalography / Feature extraction / Human activity recognition / Wearable sensor,4621,"Deep learning, Electroencephalography, Feature extraction, Human activity recognition, Wearable sensor",CIR-DFENet: Incorporating Cross-Modal Image Representation and Dual-Stream Feature Enhanced Network for Activity Recognition || MixNet: Joining Force of Classical and Modern Approaches Toward the Comprehensive Pipeline in Motor Imagery EEG Classification || ML-ResNet: A Novel Network to Detect and Locate Myocardial Infarction Using 12 Leads ECG || MFSleepNet: A Multi-Receptive Field Sleep Networks for Sleep Stage Classification || Hierarchical Domain Adaptation Projective Dictionary Pair Learning Model for EEG Classification in IoMT Systems
29,Machine learning / Cloud computing / multi-task learning / recurrent neural network / Software testing,1868,"Machine learning, Cloud computing, multi-task learning, recurrent neural network, Software testing",A Large Experimentation to Analyze the Effects of Implementation Bugs in Machine Learning Algorithms || Fuzzy-Centric Fog-Cloud Inspired Deep Interval Bi-LSTM Healthcare Framework for Predicting Yellow Fever Outbreak || On the Suitability of Hugging Face Hub for Empirical Studies || Feature Selection for SUNNY: A Study on the Algorithm Selection Library || Nimbus: Toward Speed Up Function Signature Recovery Via Input Resizing and Multi-Task Learning.
16,semantic segmentation / Feilaixia Reservoir / classification / fully convolutional network / SEFCN,3950,"semantic segmentation, Feilaixia Reservoir, classification, fully convolutional network, SEFCN",Classification of High-Resolution Remote Sensing Images in the Feilaixia Reservoir Based on a Fully Convolutional Network || Improving Leaf Area Index Retrieval Using Multi-Sensor Images and Stacking Learning in Subtropical Forests of China || Automated Decision Support System for Lung Cancer Detection and Classification Via Enhanced RFCN with Multilayer Fusion RPN || Classification of Landscape Affected by Deforestation Using High-Resolution Remote Sensing Data and Deep-Learning Techniques. || Guest Editorial Deep Learning in Medical Imaging: Overview and Future Promise of an Exciting New Technique
4,Topic Modeling / Language Modeling / Syntax-based Translation Models / Neural Machine Translation / Interpretable Models,4875,"Topic Modeling, Language Modeling, Syntax-based Translation Models, Neural Machine Translation, Interpretable Models","Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || Selective Annotation Makes Language Models Better Few-Shot Learners. || Sentence Encoders on STILTs: Supplementary Training on Intermediate Labeled-data Tasks. || Visual CoT: Advancing Multi-Modal Language Models with a Comprehensive Dataset and Benchmark for Chain-of-Thought Reasoning || LaMDA: Language Models for Dialog Applications"
19,Machine learning / Security / security / Non-terrestrial networks (NTNs) / artificial intelligence (AI),5050,"Machine learning, Security, security, Non-terrestrial networks (NTNs), artificial intelligence (AI)","Empowering Non-Terrestrial Networks with Artificial Intelligence: A Survey || Securing Internet of Things Using Machine and Deep Learning Methods: a Survey || TC-PAA: Deep Learning-Enabled QoS Enhancement Scheme for Cooperative Internet of Vehicles || Split Federated Learning for 6G Enabled-Networks: Requirements, Challenges and Future Directions || A Survey on Intelligent Internet of Things: Applications, Security, Privacy, and Future Directions"
40,machine learning / massive MIMO / deep neural network / Autoencoder / channel prediction,2901,"machine learning, massive MIMO, deep neural network, Autoencoder, channel prediction",Role of Deep Learning in Wireless Communications || Robust Symbol-Level Precoding Via Autoencoder-Based Deep Learning || 5G MIMO Data for Machine Learning: Application to Beam-Selection Using Deep Learning || Human Parsing with Joint Learning for Dynamic Mmwave Radar Point Cloud. || Edge-Enabled Modulation Classification in Internet of Underwater Things Based on Network Pruning and Ensemble Learning
